AUDI;AUTOMOVIL;R8 [2] 5.2 FSI QUATTRO Performance TP 5200CC V10;Particular;880600000;true;5204;2;GSL
AUDI;AUTOMOVIL;RS3 8Y 2.5 TFSI SPORTBACK TP 2500CC T CT;Particular;264900000;true;2480;5;GSL
AUDI;AUTOMOVIL;100 C4 2.8 V6 MT 2800CC 12V;Particular;85700000;true;2771;5;GSL
AUDI;AUTOMOVIL;A6 C4 2.8 V6 MT 2800CC 12V;Particular;105600000;true;2771;5;GSL
AUDI;AUTOMOVIL;A6 C4 2.8 V6 AT 2800CC 12V;Particular;111200000;true;2771;5;GSL
AUDI;AUTOMOVIL;80 B4 2.8 V6 AT 2800CC;Particular;81600000;true;2771;5;GSL
AUDI;AUTOMOVIL;A4 B5 2.8 V6 MT 2800CC 12V;Particular;87300000;true;2771;5;GSL
AUDI;AUTOMOVIL;A4 B5 1.8 MT 1800CC;Particular;79900000;true;1781;5;GSL
AUDI;AUTOMOVIL;A4 B5 1.8 AT 1800CC;Particular;84200000;true;1781;5;GSL
AUDI;AUTOMOVIL;A4 B5 2.8 V6 AT 2800CC 12V;Particular;91900000;true;2771;5;GSL
AUDI;AUTOMOVIL;A6 C4 2.8 V6 AT 2800CC 30V;Particular;117900000;true;2771;5;GSL
AUDI;AUTOMOVIL;80 B4 2.0 MT 2000CC;Particular;77700000;true;1984;5;GSL
AUDI;AUTOMOVIL;A4 B5 1.8T AT 1800CC T;Particular;91500000;true;1780;5;GSL
AUDI;AUTOMOVIL;A4 B5 1.8T MT 1800CC T;Particular;86900000;true;1780;5;GSL
AUDI;AUTOMOVIL;A6 C5 2.8 V6 TP 2800CC 30V;Particular;131000000;true;2771;5;GSL
AUDI;AUTOMOVIL;A4 B6 1.8T TP 1800CC T;Particular;98100000;true;1781;5;GSL
AUDI;AUTOMOVIL;A6 C5 1.8T AT 1800CC T;Particular;115800000;true;1781;5;GSL
AUDI;AUTOMOVIL;A4 B6 2.0 MULTITRONIC TP 2000CC;Particular;88200000;true;1984;5;GSL
AUDI;AUTOMOVIL;A4 B6 3.0 MT 3000CC;Particular;107400000;true;2976;5;GSL
AUDI;AUTOMOVIL;A4 B6 2.0 MT 2000CC;Particular;83900000;true;1984;5;GSL
AUDI;AUTOMOVIL;A4 B6 2.4 V6 TP 2400CC;Particular;104000000;true;2393;5;GSL
AUDI;AUTOMOVIL;80 B3 1.8 QUATTRO MT 1800CC;Particular;85200000;true;1781;5;GSL
AUDI;AUTOMOVIL;A6 C5 2.0 L AT 2000CC;Particular;112000000;true;1984;5;GSL
